El itinerario de las palmeras I (1985), https://dl.dropboxusercontent.com/scl/fi/b9wgabg2anwul9nid2rxo/El-itinerario-de-las-palmeras-I-grabaci-n-obra-1400-00.aif?rlkey=fk58gmkjqsu3af8ob5rtibkb1&dl=0, El itinerario de las palmeras I (grabación obra), https://dl.dropboxusercontent.com/scl/fi/khtbx8whlao5zpdfu4rzo/SCORE-El-itinerario-de-las-palmeras-I-1985.pdf?rlkey=thgu0u6psgxday694l343repn&dl=0
El itinerario de las palmeras I (1985), https://dl.dropboxusercontent.com/scl/fi/tmp2x38wkg1yvotvliqw4/El-itinerario-de-las-palmeras-I-tape.aif?rlkey=lxqc8tx3f9k63c2986hihdkst&dl=0,El itinerario de las palmeras I (tape), 
El itinerario de las palmeras II (1985), https://dl.dropboxusercontent.com/scl/fi/kq15eitrybss54jui36is/El-itinerario-de-las-palmeras-II-tape.aif?rlkey=vicnvb0u250h8c57wgxhw52w7&dl=0, El itinerario de las palmeras II (tape), https://dl.dropboxusercontent.com/scl/fi/6ddpyy8hywwyn2mi6qvl6/SCORE-El-itinerario-de-las-palmeras-II-1985.pdf?rlkey=pbsw7bn591f2w5c2klhj1c2tr&dl=0 HOLAHOLA
TAPE Itinerario I A (0-4min25seg), https://dl.dropboxusercontent.com/scl/fi/287yq7ga0uu78u1m5jo6k/TAPE-Itinerario-I-B-0-4min25seg.aif?rlkey=zqhtfnk47fo5tphmdrlgi3m1v&dl=0, TAPE Itinerario I A (0-4min25seg), 
TAPE Itinerario I B (4min25seg-7min13seg), https://dl.dropboxusercontent.com/scl/fi/hk2s3p0ypm81tes7hqx3f/TAPE-Itinerario-I-B-4min25seg-7min13seg.aif?rlkey=01hso61kkouq77v4fw79zd3o9&dl=0, TAPE Itinerario I B (4min25seg-7min13seg), 
TAPE Itinerario I C (7min13seg-fin, https://dl.dropboxusercontent.com/scl/fi/rqavl7bl5wup74rs2xgak/TAPE-Itinerario-I-B-7min13seg-fin.aif?rlkey=7lg9tmnx45j074xzzcdl1piq5&dl=0, TAPE Itinerario I C (7min13seg-fin, 
TAPE Itinerario II A (0-4min25seg), https://dl.dropboxusercontent.com/scl/fi/5vka8srqfcbi0632ip2en/TAPE-Itinerario-II-B-0-4min25seg.aif?rlkey=546mwjxw7sfonyhiqh6wbd7el&dl=0, TAPE Itinerario II A (0-4min25seg), 
TAPE Itinerario II B (4min25seg-7min13seg), https://dl.dropboxusercontent.com/scl/fi/7k4jakfgkuoubiy7wbq3m/TAPE-Itinerario-II-B-4min25seg-7min13seg.aif?rlkey=ew33t7d9z0flykfuyvvlyrx14&dl=0, TAPE Itinerario II B (4min25seg-7min13seg), 
TAPE Itinerario II C (7min13seg-fin), https://dl.dropboxusercontent.com/scl/fi/5v81e3tgf6l0znf65voem/TAPE-Itinerario-II-B-7min13seg-fin.aif?rlkey=1db7ron8w7fcm9hxb2cmvy6x2&dl=0, TAPE Itinerario II C (7min13seg-fin), 
