Viaje de invierno (1981), https://dl.dropboxusercontent.com/s/0bkplsktq9q94l6gor0h6/Viaje-de-invierno-1981.mp3?rlkey=3jlsrso3rwhqmfptcxy9doxoa&raw=1, Viaje de invierno (1981),
Nachtmusik II (1981), https://dl.dropboxusercontent.com/s/j28dobsgp46jdyqnbu1wn/Nachtmusik-II-1981-Entre-la-noche-y-la-ma-ana.mp3?rlkey=3x3j1uqrsrypbrkcvgeonklkj&raw=1, Nachtmusik II (1981),
Ballet (1981), https://dl.dropboxusercontent.com/s/bghjaeyk7h71cgi17xswe/Ballet-1981.mp3?rlkey=2xy71nr3mghh8wdbwo3kljqnz&raw=1, Ballet (1981),
Foglio II (1981), https://dl.dropboxusercontent.com/s/ztmuvmpgpw2bfii7yvm5h/Foglio-II-1981.mp3?rlkey=4rkyoicd3q0d7906nj76ocmpl&raw=1, Foglio II (1981),
Foglio IV (1981–1982), https://dl.dropboxusercontent.com/s/2cg80cs7erp21rbcs04io/Foglio-IV-1981-1982.mp3?rlkey=1vrtxs03zwopay6md5hou5rh0&raw=1, Foglio IV (1981–1982),
Transparencias (1983) versión audiovisual, https://dl.dropboxusercontent.com/s/cvnpfg5uocet0d16ofnl5/Transparencias-Video-1983.mp3?rlkey=rm9pa8jy7lyb72bc245tvyyz6&raw=1, Transparencias (1983) versión audiovisual,
Transparencias (1983) versión acusmática, https://dl.dropboxusercontent.com/s/v7r7fhwnd0znw86nuvd5j/Transparencias-1983.mp3?rlkey=5h7lzf3cnzbpw85yh4aj9vsou&raw=1, Transparencias (1983) versión acusmática,
Música para os xardíns colgantes (1980–1984), https://dl.dropboxusercontent.com/s/1vwv22wzdoio3yvdrusz1/M-sica-para-os-xard-n-colgantes-1980-1984.mp3?rlkey=6xt6n1ml13sj993fnw30fgsf7&raw=1, Música para os xardíns colgantes (1980–1984),
