Les Adieux (1988) Mov.1, https://dl.dropboxusercontent.com/scl/fi/pn5eq2ymc4xhppyjszyl7/Mov.1-Adieux-Commentaire.aiff?rlkey=x6rkoe77s2458dineqrpbvf64&dl=0, Mov.1 Adieux-Commentaire, https://dl.dropboxusercontent.com/scl/fi/ias6fbqwceda5f4fklp6o/SCORE-Les-Adieux-1988.pdf?rlkey=5xvdm8jji8sm2j9xoike4x1wq&dl=0
Les Adieux (1988) Mov.2, https://dl.dropboxusercontent.com/scl/fi/mszql8in0ii8r0qintkhb/Mov.2-Espero-A-Palavra-Branca.aiff?rlkey=xjasbtxchhrzd9dj1hj37x38t&dl=0, Mov.2 Espero A Palavra Branca, https://dl.dropboxusercontent.com/scl/fi/ias6fbqwceda5f4fklp6o/SCORE-Les-Adieux-1988.pdf?rlkey=5xvdm8jji8sm2j9xoike4x1wq&dl=0
Les Adieux (1988) Mov.3, https://dl.dropboxusercontent.com/scl/fi/ob9f235p3qvrp4bhg4ypm/Mov.3-Nobilissima-Visione.aiff?rlkey=nj79z4ydxmeao5jzcgdzo6ni0&dl=0, Mov.3 Nobilissima Visione, https://dl.dropboxusercontent.com/scl/fi/ias6fbqwceda5f4fklp6o/SCORE-Les-Adieux-1988.pdf?rlkey=5xvdm8jji8sm2j9xoike4x1wq&dl=0
Les Adieux (1988) Mov.4, https://dl.dropboxusercontent.com/scl/fi/qjm3ckp1ziltgq994rbpj/Mov.4-Je-Ne-Confond-Pas-La-Solitude-Avec-La-Lyre-Du-D-sert.aiff?rlkey=khc3rge7kh4jzpdxfu3zoad03&dl=0, Mov.4 Je Ne Confond Pas La Solitude Avec La Lyre Du Désert, https://dl.dropboxusercontent.com/scl/fi/ias6fbqwceda5f4fklp6o/SCORE-Les-Adieux-1988.pdf?rlkey=5xvdm8jji8sm2j9xoike4x1wq&dl=0
Duplo (1991), https://dl.dropboxusercontent.com/scl/fi/dh0om0vy7gzp65pfn7qrb/Duplo.aiff?rlkey=dfu5j57d0z2xu8fo8lbxkcdxv&dl=0, Duplo, https://dl.dropboxusercontent.com/scl/fi/dxfoau42ds0g2b3pd93ff/SCORE-Duplo-1991.pdf?rlkey=kjf3qx4u0i943f2r7epjin2t7&dl=0
