Diálogos Monologados (1977), https://dl.dropboxusercontent.com/s/opsq2qaf87z9w5ru9l90c/Di-logos-Monologados-1977.mp3?rlkey=mfm9obtkkba3wf94ufs2n8nk0&raw=1, Diálogos Monologados (1977),
Longa noite de pedra (1978), https://dl.dropboxusercontent.com/s/1gb4q7m4q9c1c5f31m4df/Longa-noite-de-pedra-1978.mp3?rlkey=6mb2dz73w22fj14jvun8u5pex&raw=1, Longa noite de pedra (1977),
Poema de Requiem (1978), https://dl.dropboxusercontent.com/s/6gggd2xjns712jx9vtebv/Poema-de-Requiem-1978.mp3?rlkey=cttq2sgmc2p9u05mjtfpm36ls&raw=1, Poema de Requiem (1978),
Oligospérmia (1979), https://dl.dropboxusercontent.com/s/ys3q4m3ouw6b01pe01ezb/Oligosp-rmia-1979.mp3?rlkey=zau7cc1n9pvdk9n1lb6uivgrs&raw=1, Oligospérmia (1979),
Nachtmusik I (1980), https://dl.dropboxusercontent.com/s/uh945odohf6em9debu83b/Nachtmusik-I-1980.mp3?rlkey=ujdsv5swwh8lga1okqapb7h6d&raw=1, Nachtmusik I (1980),
